NAME,RecYDS,RecTD,RecYPR,RushTD,RushYPC,RushYDS,RecREC,RushCAR,Year,School,Class,1stVotes,2ndVotes,3rdVotes,TotalVotes,win_percent,TotalPointShare,1stVoteShare,POS,ClassNum,SchoolNum,POSNum
Reggie Bush,438,2,13.3,16,9,1643,33,183,2005,USC,JR,784,89,11,2541,0.923076923,0.48024948,0.878923767,RB,0,0,0
Derrick Henry,91,0,8.3,28,5.6,2219,11,395,2015,Alabama,JR,378,277,144,1832,0.933333333,0.344231492,0.422346369,RB,0,1,0
Darren McFadden,164,1,7.8,16,5.6,1830,21,325,2007,Arkansas,JR,291,355,120,1703,0.615384615,0.326871401,0.33030647,RB,0,2,0
Christian McCaffrey,645,5,14.3,8,6,2019,45,337,2015,Stanford,SO,290,246,177,1539,0.857142857,0.289177001,0.324022346,RB,1,3,0
Mark Ingram,334,3,10.4,17,6.1,1658,32,271,2009,Alabama,SO,227,236,151,1304,1,0.244469441,0.252783964,RB,1,1,0
Bryce Love,33,0,5.5,19,8.1,2118,6,263,2017,Stanford,JR,75,421,233,1300,0.642857143,0.248994446,0.084554679,RB,0,3,0
Toby Gerhart,157,0,14.3,27,5.5,1871,11,343,2009,Stanford,SR,222,225,160,1276,0.615384615,0.239220097,0.247216036,RB,2,3,0
Melvin Gordon,153,3,8.1,29,7.5,2587,19,343,2014,Wisconsin,JR,37,432,275,1250,0.785714286,0.237959261,0.041573034,RB,0,4,0
Adrian Peterson,12,0,2.4,15,5.7,1925,5,339,2004,Oklahoma,FR,154,180,175,997,0.923076923,0.195336991,0.178654292,RB,3,5,0
Trent Richardson,338,3,11.7,21,5.9,1679,29,283,2011,Alabama,JR,138,207,150,978,0.923076923,0.187607903,0.156462585,RB,0,1,0
LaMichael James,208,3,12.2,21,5.9,1731,17,294,2010,Oregon,SO,22,313,224,916,0.923076923,0.176153846,0.024915062,RB,1,6,0
