NAME,PassPCT,PassYPA,PassCOMPLETIONS,PassINT,RushYPC,RushCAR,PassATT,PassTD,PassYDS,RushTD,RushYDS,Year,School,Class,1stVotes,2ndVotes,3rdVotes,TotalVotes,win_percent,TotalPointShare,1stVoteShare,ClassNum,SchoolNum
Matt Leinart,0.653,8.1,269,6,-0.9,49,412,33,3322,3,-44,2004,USC,JR,267,211,102,1325,1,0.259600313,0.30974478,0,0
Jason White,0.654,8.2,255,9,-2.4,23,390,35,3205,0,-56,2004,Oklahoma,SR,171,149,146,957,0.923076923,0.1875,0.19837587,1,1
Alex Smith,0.675,9.3,214,4,4.7,135,317,32,2952,10,631,2004,Utah,SR,98,112,117,635,1,0.124412226,0.113689095,1,2
Jason Campbell,0.696,10,188,7,0.5,58,270,20,2700,3,30,2004,Auburn,SR,21,24,51,162,1,0.031739812,0.024361949,1,3
Aaron Rodgers,0.661,8.1,209,8,1.7,74,316,24,2566,3,126,2004,California,JR,8,14,15,67,0.833333333,0.013126959,0.009280742,0,4
Vince Young,0.652,9.3,212,10,6.8,155,325,26,3036,12,1050,2005,Texas,JR,79,613,145,1608,1,0.303912304,0.088565022,0,5
Matt Leinart,0.652,8.7,259,7,0.4,48,397,25,3451,6,21,2005,USC,SR,18,147,449,797,0.923076923,0.150633151,0.020179372,1,0
Brady Quinn,0.649,8.7,292,7,1.3,70,450,32,3919,1,90,2005,Notre Dame,JR,7,21,128,191,0.75,0.036099036,0.007847534,0,6
Michael Robinson,0.521,7.6,162,10,4.9,163,311,17,2350,11,806,2005,Penn State,SR,2,7,29,49,0.916666667,0.009261009,0.002242152,1,7
Drew Olson,0.64,8.5,242,6,-1,50,378,34,3198,1,-48,2005,UCLA,JR,1,2,14,21,0.833333333,0.003969004,0.001121076,0,8
Troy Smith,0.653,8.2,203,6,2.8,72,311,30,2542,1,204,2006,Ohio State,SR,801,62,13,2540,0.923076923,0.501183899,0.910227273,1,9
Brady Quinn,0.619,7.3,289,7,0.9,82,467,37,3426,2,71,2006,Notre Dame,SR,13,276,191,782,0.769230769,0.1543015,0.014772727,1,6
Colt Brennan,0.726,9.9,406,12,4.3,86,559,58,5549,5,366,2006,Hawaii,JR,6,44,96,202,0.785714,0.039857932,0.006818182,0,10
Tim Tebow,0.669,9.4,234,6,4.3,210,350,32,3286,23,895,2007,Florida,SO,462,229,113,1957,0.692307692,0.3756238,0.524404086,2,11
Colt Brennan,0.704,8.5,359,17,0,82,510,38,4343,8,27,2007,Hawaii,SR,54,114,242,632,0.923077,0.121305182,0.061293984,1,10
Chase Daniel,0.682,7.6,384,11,2.3,109,563,33,4306,4,253,2007,Missouri,JR,25,84,182,425,0.857142857,0.081573896,0.028376844,0,12
Dennis Dixon,0.677,8.4,172,4,5.6,105,254,20,2136,9,583,2007,Oregon,SR,17,31,65,178,0.692307692,0.034165067,0.019296254,1,13
Pat White,0.667,8,144,4,6.8,197,216,14,1724,14,1335,2007,West Virginia,JR,16,28,46,150,0.846153846,0.028790787,0.01816118,0,14
Matt Ryan,0.593,6.9,388,19,0,68,654,31,4507,2,2,2007,Boston College,SR,9,7,22,63,0.785714286,0.012092131,0.010215664,1,15
