,NAME,RecLONG,RecYDS,RecTD,RecYPR,RushTD,RushYPC,RushYDS,RecREC,RushLONG,RushCAR,Year,School,Class,1stVotes,2ndVotes,3rdVotes,TotalVotes,win_percent
46,Reggie Bush,43,438,2,13.3,16,9,1643,33,76,183,2005,USC,JR,784,89,11,2541,0.923076923
18,Derrick Henry,28,91,0,8.3,28,5.6,2219,11,74,395,2015,Alabama,JR,378,277,144,1832,0.933333333
39,Darren McFadden,57,164,1,7.8,16,5.6,1830,21,80,325,2007,Arkansas,JR,291,355,120,1703,0.615384615
19,Christian McCaffrey,75,645,5,14.3,8,6,2019,45,70,337,2015,Stanford,SO,290,246,177,1539,0.857142857
34,Mark Ingram,69,334,3,10.4,17,6.1,1658,32,70,271,2009,Alabama,SO,227,236,151,1304,1
9,Bryce Love,12,33,0,5.5,19,8.1,2118,6,75,263,2017,Stanford,JR,75,421,233,1300,0.642857143
35,Toby Gerhart,33,157,0,14.3,27,5.5,1871,11,61,343,2009,Stanford,SR,222,225,160,1276,0.615384615
23,Melvin Gordon,35,153,3,8.1,29,7.5,2587,19,88,343,2014,Wisconsin,JR,37,432,275,1250,0.785714286
49,Adrian Peterson,6,12,0,2.4,15,5.7,1925,5,80,339,2004,Oklahoma,FR,154,180,175,997,0.923076923
29,Trent Richardson,61,338,3,11.7,21,5.9,1679,29,76,283,2011,Alabama,JR,138,207,150,978,0.923076923
32,LaMichael James,-1,208,3,12.2,21,5.9,1731,17,-1,294,2010,Oregon,SO,22,313,224,916,0.923076923
41,Darren McFadden,70,148,1,13.5,14,5.8,1646,11,80,284,2006,Arkansas,SO,45,298,147,878,0.714285714
50,Reggie Bush,69,509,7,11.8,6,6.3,908,43,81,143,2004,USC,SO,118,80,83,597,1
25,Andre Williams,0,0,0,0,18,6.1,2177,0,80,355,2013,Boston College,SR,29,127,129,470,0.538461538
26,Tre Mason,34,163,1,13.6,23,5.7,1816,12,53,317,2013,Auburn,JR,31,121,69,404,0.857142857
30,Montee Ball,63,306,6,12.8,33,6.3,1923,24,54,307,2011,Wisconsin,JR,22,83,116,348,0.785714286
10,Saquon Barkley,85,632,3,11.7,18,5.9,1271,54,92,217,2017,Penn State,JR,15,73,113,304,0.846153846
36,C.J. Spiller,63,503,4,14,12,5.6,1212,36,66,216,2009,Clemson,SR,26,31,83,223,0.642857143
0,Najee Harris,26,425,4,9.9,26,5.8,1466,43,53,251,2020,Alabama,SR,16,47,74,216,1
42,Steve Slaton,67,360,2,13.3,16,7,1744,27,65,248,2006,West Virginia,SO,6,51,94,214,0.846153846
43,Michael Hart,-1,125,0,7.4,14,4.9,1562,17,-1,318,2006,Michigan,JR,5,58,79,210,0.846153846
2,Jonathan Taylor,36,252,5,9.7,21,6.3,2003,26,72,320,2019,Wisconsin,JR,6,44,83,189,0.714285714
51,Cedric Benson,20,179,1,8.1,19,5.6,1834,22,60,326,2004,Texas,SR,12,41,69,187,0.916666667
11,Rashaad Penny,33,135,2,7.1,23,7.8,2248,19,95,289,2017,San Diego State,SR,7,37,80,175,0.769230769
14,D'Onta Foreman,21,75,0,10.7,15,6.3,2028,7,74,323,2016,Texas,JR,6,21,71,131,0.416666667
52,J.J. Arrington,30,121,0,5.8,15,7,2018,21,89,289,2004,California,SR,10,33,19,115,0.833333333
3,J.K. Dobbins,28,247,2,10.7,21,6.7,2003,23,68,301,2019,Ohio State,JR,2,36,36,114,0.928571429
20,Leonard Fournette,46,253,1,13.3,22,6.5,1953,19,87,300,2015,LSU,SO,10,25,30,110,0.75
15,Christian McCaffrey,56,310,3,8.4,13,6.3,1603,37,90,253,2016,Stanford,JR,10,17,39,103,0.769230769
21,Dalvin Cook,36,244,1,10.2,19,7.4,1691,24,94,229,2015,Florida State,SO,7,18,22,79,0.769230769
44,Ray Rice,13,30,0,7.5,20,5.4,1794,4,63,335,2006,Rutgers,SO,1,16,44,79,0.846153846
45,Ian Johnson,21,55,0,6.9,25,6.2,1714,8,59,276,2006,Boise State,JR,1,13,44,73,1
27,Ka'Deem Carey,24,173,1,6.7,19,5.4,1885,26,58,349,2013,Arizona,JR,2,14,36,70,0.615384615
