,Rk,Player,School,Class,Pos,1st,2nd,3rd,Tot,Summary,Year
0,1,DeVonta Smith,Alabama,SR,WR,447,221,73,1856,117 Rec 1856 Yds 15.9 Avg 23 TD,2020
1,2,Trevor Lawrence,Clemson,JR,QB,222,176,169,1187,231 Cmp 334 Att 3153 Yds 24 TD 5 Int,2020
2,3,Mac Jones,Alabama,JR,QB,138,248,220,1130,311 Cmp 402 Att 4500 Yds 41 TD 4 Int,2020
3,4,Kyle Trask,Florida,SR,QB,61,164,226,737,301 Cmp 437 Att 4283 Yds 43 TD 8 Int,2020
4,5,Najee Harris,Alabama,SR,RB,16,47,74,216,251 Att 1466 Yds 5.8 Avg 26 TD,2020
5,6,Breece Hall,Iowa State,SO,RB,6,10,26,64,279 Att 1572 Yds 5.6 Avg 21 TD,2020
6,7,Justin Fields,Ohio State,JR,QB,5,6,21,48,158 Cmp 225 Att 2100 Yds 22 TD 6 Int,2020
7,8,Zach Wilson,BYU,JR,QB,3,6,21,42,247 Cmp 336 Att 3692 Yds 33 TD 3 Int,2020
8,9,Ian Book,Notre Dame,SR,QB,5,5,13,38,228 Cmp 353 Att 2830 Yds 15 TD 3 Int,2020
9,10,Kyle Pitts,Florida,JR,TE,0,7,10,24,43 Rec 770 Yds 17.9 Avg 12 TD,2020
10,1,Joe Burrow,LSU,SR,QB,841,41,3,2608,402 Cmp 527 Att 5671 Yds 60 TD 6 Int,2019
11,2,Jalen Hurts,Oklahoma,SR,QB,12,231,264,762,237 Cmp 340 Att 3851 Yds 32 TD 8 Int,2019
12,3,Justin Fields,Ohio State,SO,QB,6,271,187,747,238 Cmp 354 Att 3273 Yds 41 TD 3 Int,2019
13,4,Chase Young,Ohio State,JR,DE,20,205,173,643,32 Solo 14 Ast 16.5 Sk 0 Int,2019
14,5,Jonathan Taylor,Wisconsin,JR,RB,6,44,83,189,320 Att 2003 Yds 6.3 Avg 21 TD,2019
15,6,J.K. Dobbins,Ohio State,JR,RB,2,36,36,114,301 Att 2003 Yds 6.7 Avg 21 TD,2019
16,7,Trevor Lawrence,Clemson,SO,QB,3,25,29,88,268 Cmp 407 Att 3665 Yds 36 TD 8 Int,2019
17,8,Chuba Hubbard,Oklahoma State,SO,RB,0,11,46,68,328 Att 2094 Yds 6.4 Avg 21 TD,2019
18,9,Travis Etienne,Clemson,JR,RB,0,7,11,25,207 Att 1614 Yds 7.8 Avg 19 TD,2019
19,10,Tua Tagovailoa,Alabama,JR,QB,1,4,13,24,180 Cmp 252 Att 2840 Yds 33 TD 3 Int,2019
20,1,Kyler Murray,Oklahoma,JR,QB,517,278,60,2167,260 Cmp 377 Att 4361 Yds 42 TD 7 Int,2018
21,2,Tua Tagovailoa,Alabama,SO,QB,299,431,112,1871,245 Cmp 355 Att 3966 Yds 43 TD 6 Int,2018
22,3,Dwayne Haskins,Ohio State,SO,QB,46,111,423,783,373 Cmp 533 Att 4831 Yds 50 TD 8 Int,2018
23,4,Will Grier,West Virginia,SR,QB,4,17,80,126,266 Cmp 397 Att 3864 Yds 37 TD 8 Int,2018
24,5,Gardner Minshew,Washington State,SR,QB,6,15,74,122,468 Cmp 662 Att 4779 Yds 38 TD 9 Int,2018
25,6,McKenzie Milton,UCF,SO,QB,4,4,19,39,171 Cmp 289 Att 2663 Yds 25 TD 6 Int,2018
26,7,Travis Etienne,Clemson,SO,RB,0,6,17,29,204 Att 1658 Yds 8.1 Avg 24 TD,2018
27,8,Quinnen Williams,Alabama,SO,DT,1,4,16,27,45 Solo 26 Ast 8.0 Sk 0 Int,2018
28,9,Jonathan Taylor,Wisconsin,SO,RB,1,2,19,26,307 Att 2194 Yds 7.1 Avg 16 TD,2018
29,10,Darrell Henderson,Memphis,JR,RB,0,3,15,21,214 Att 1909 Yds 8.9 Avg 22 TD,2018
30,1,Baker Mayfield,Oklahoma,SR,QB,732,87,28,2398,285 Cmp 404 Att 4627 Yds 43 TD 6 Int,2017
31,2,Bryce Love,Stanford,JR,RB,75,421,233,1300,263 Att 2118 Yds 8.1 Avg 19 TD,2017
32,3,Lamar Jackson,Louisville,JR,QB,47,197,258,793,254 Cmp 430 Att 3660 Yds 27 TD 10 Int,2017
33,4,Saquon Barkley,Penn State,JR,RB,15,73,113,304,217 Att 1271 Yds 5.9 Avg 18 TD,2017
